pairs,less,greater
universal - noise,"[5.2623392785974945e-82, 0.47216319082862707, 2.2521999546862298e-24, 2.2521899030675713e-24, 0.999999999982476]","[1.0, 0.527836809171373, 1.0, 1.0, 1.7524004223027392e-11]"
universal - mem,"[1.0, 0.5978426209550866, 1.0, 1.0, 0.04563728278061312]","[5.589281061053389e-123, 0.40215737904491344, 1.3681154478903589e-37, 1.3681173828926531e-37, 0.9543627172193868]"
universal - noise_mem,"[1.2354797145040972e-59, 0.4614686402154946, 8.382518407574338e-10, 8.382506414421874e-10, 0.9999997661666478]","[1.0, 0.5385313597845054, 0.9999999991617482, 0.9999999991617494, 2.338333522558944e-07]"
noise - mem,"[1.0, 0.6270599361068678, 1.0, 1.0, 3.445457121979558e-13]","[4.382957920452901e-181, 0.3729400638931323, 4.902795790203189e-91, 4.9027626411644833e-91, 0.9999999999996554]"
noise - noise_mem,"[0.9757783341839739, 0.48896317177853765, 0.9999928152034171, 0.9999928152115354, 0.04675469637892947]","[0.024221665816026198, 0.5110368282214623, 7.1847965828977295e-06, 7.184788464626483e-06, 0.9532453036210705]"
mem - noise_mem,"[3.23412951051375e-174, 0.36283366396994915, 1.457067734692379e-67, 1.457063894419567e-67, 0.9999999978521451]","[1.0, 0.6371663360300508, 1.0, 1.0, 2.1478548638592115e-09]"
