pairs,less,greater
universal - noise,"[0.0, 3.126042393947686e-06, 0.0, 0.0, 0.999999999511618]","[1.0, 0.9999968739576061, 1.0, 1.0, 4.883820188360855e-10]"
universal - mem,"[1.0779697949458895e-275, 0.2280431246506393, 5.985818357645355e-177, 5.9858485307016e-177, 1.0]","[1.0, 0.7719568753493606, 1.0, 1.0, 2.4990604930530916e-36]"
universal - noise_mem,"[0.0, 3.126042393947686e-06, 0.0, 0.0, 0.999999999511618]","[1.0, 0.9999968739576061, 1.0, 1.0, 4.883820188360855e-10]"
noise - mem,"[1.0, 0.9998623322607231, 1.0, 1.0, 1.0]","[3.863298485931455e-241, 0.0001376677392769824, 2.2768309651561805e-117, 2.2768569782535856e-117, 6.808568533281787e-25]"
noise - noise_mem,"[0.5, 0.5, 0.5, 0.5, 0.5]","[0.5, 0.5, 0.5, 0.5, 0.5]"
mem - noise_mem,"[3.863298485931455e-241, 0.0001376677392769824, 2.2768309651561805e-117, 2.2768569782535856e-117, 6.808568533281787e-25]","[1.0, 0.9998623322607231, 1.0, 1.0, 1.0]"
